company-externalId,company-name,company-owner,company-locationName,company-Address,company-phone,company-phone2,company-website,company-locationCity,company-locationState,company-locationZipCode,company-locationCountry,company-locationDistrict,company-Note
49,Tata Communications,david.bordez@dempton.com,"1555 Rue Carrie-Derick, Montréal, QC, H3C 6W2","1555 Rue Carrie-Derick, Montréal, QC, H3C 6W2",(514) 868-7272,,http://www.tatacommunications.com/contact/,Montréal,QC,H3C 6W2,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: (Lyn - 18/06/2008 3:19 PM)
Hicham m'a dit que tout ce qui est IT chez Tata est maintenant fait de l'Inde via TSC (exclusif) depuis Fév 08.

"
51,AIMIA (Aeroplan),jean-francois.sauve@dempton.com,"5100 boul. de Maisonneuve Ouest, Montréal, Qu, H4A 3T2 ","5100 boul. de Maisonneuve Ouest, Montréal, Qu, H4A 3T2 ",(514) 227-4451,,http://www.aeroplan.com/home.do,Montréal,Qu,"H4A 3T2 ",,Montreal,"Company Status: Active
Sic: A
Pipeline Status: 3: Sendouts
Description: Equipe de la solution OFFICE 365

(19-04-2013) JFD
Kirsi Ulmonen, Directeur, PMO Aeroplan
(514) 205-7118
Critère Embauche PM, PCO... 
Senior, Bilingue, PMP, Web transactionnel, Expérience chez Aeroplan, Versatile et dynamique,
avoir du BI est un plus.
Taux entre 95 - 115$

Alan Wiseman
Directeur, Opérations TI
Aeroplan
(514) 205-7039


"
55,La Senza,jean-francois.sauve@dempton.com,"1604, Boulevard St-Régis, Dorval, QC, H9P 1H6","1604, Boulevard St-Régis, Dorval, QC, H9P 1H6",(514) 684-7700,(888) 527-3692,,Dorval,QC,H9P 1H6,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
"
59,ALDO,jean-francois.sauve@dempton.com,"2300, rue Émile-Bélanger, Saint-Laurent, QC, ","2300, rue Émile-Bélanger, Saint-Laurent, QC, ","(514) 747-2536 ",,www.aldoshoes.com,Saint-Laurent,QC,,,,"Company Status: Active
Sic: B
Pipeline Status: 1: New Lead
"
60,Vidéotron,jean-francois.sauve@dempton.com,"300 Viger Ave. E, Montréal, QC, ","300 Viger Ave. E, Montréal, QC, ",,,http://www.videotron.com/services/index.jsp,Montréal,QC,,,,"Company Status: Active
Sic: A
Pipeline Status: 2: Visited
Description: 

****Rencontre avec Mario Lessard*** Directeur général Stratégie Mégadonnées et intelligence d'affaires
(Lise F 2018-06-110

Projet de commercialisation de Comcast (Illico 2). 9 Data stream transféré dans l'environnement de Videotron

RFP (en mode final pour faire un choix entre:
-Cloudera
-Hortonsworks
-Azure

Il est à la recherche de Scrum Master et Project Manager BIG DATA. Il va demander à ce que je reçoive les descriptions de postes.

Ils sont aussi à la recherche d'architecte de données..Je suis à valider la description.



(JeanFranS - 2013-04-26 7:46 PM)
Hicham Gretly me dit que Videotron sort tous les consultants; restera seulement ceux de CGI et OSI.  Peu de choses à faire dans ce compte en ce moment...

(JenniferDD - 2011-09-21 9:15 AM)
Ils considèrent les projets comme suit : 2 types de projets : ceux de 50 jours et moins de dev et ceux de 50 jours et plus
Du côté Remedy, ils travaillent surtout avec Facilité ou MapleSoft
Remedy - BMC software - langages Remedy, Connex, IS
Remedy - dev ou support
les Remedy peuvent être bien vite débauchés pour du IS - 'la cannibalisation' selon J-F Théorêt
3000 pers qui répondent au téléphone

(JenniferDD - 11/02/2011 3:45 PM)
je connais Jean-Dominic Lapointe Thibeault qui est PM pour le projet 3G sous Page, Tarif, Proulx dans l'équipe Ingénierie

Module SAP: HR"
65,STM,jean-francois.sauve@dempton.com,"800, rue de La Gauchetière Ouest, Montréal, QC, H5A 1J6 ","800, rue de La Gauchetière Ouest, Montréal, QC, H5A 1J6 ",(514) 786-4636,,http://www.stm.info/sommaire.htm,Montréal,QC,"H5A 1J6 ",,,"Company Status: Active
Sic: A
Pipeline Status: 1: New Lead
Description: (Lyn - 1/14/09 2:46 PM)
Serge Ritcher told me the STM signs a contract every two years with one partner.  Now the partner is Cofomo (used to be CGI).

Module SAP: PM"
73,Motovan,jean-francois.sauve@dempton.com,"1391, rue Gay-Lussac, Boucherville, QC, J4B 7K1","1391, rue Gay-Lussac, Boucherville, QC, J4B 7K1",(450) 449-3903,,http://www.motovan.com/index_fr.html,Boucherville,QC,J4B 7K1,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: Modules SAP: FI,CO"
76,EXFO,jean-francois.sauve@dempton.com,"400, avenue Godin, Québec, QC, G1M 2K2","400, avenue Godin, Québec, QC, G1M 2K2",(418) 683-0211,(800) 663-3936,http://www.exfo.com/fr/index.aspx,Québec,QC,G1M 2K2,,,"Company Status: Active
Sic: C
Pipeline Status: 1: New Lead
Description: Office 365

SAP Modules:SD,CS, MM, PP, FI and CO"
78,Barry Callebault,jean-francois.sauve@dempton.com,"2950, rue Nelson, Saint-Hyacinthe, QC, J2S 1Y7","2950, rue Nelson, Saint-Hyacinthe, QC, J2S 1Y7","(450) 774-9131 ",,http://www.cacao-barry.com/fr/?home_country=1520,Saint-Hyacinthe,QC,J2S 1Y7,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: SAP Modules: FI"
79,Glaxo Smith Klein,jean-francois.sauve@dempton.com,"8455, route Transcanadienne, Saint-Laurent, QC, H4S 1Z1","8455, route Transcanadienne, Saint-Laurent, QC, H4S 1Z1",(514) 738-8886,,http://www.gazmetro.com/residentiel/default.aspx?culture=fr-CA,Saint-Laurent,QC,H4S 1Z1,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: SAP Modules: FI,CO"
80,Sobeys Québec,jean-francois.sauve@dempton.com,"11281 Albert Hudon Boulevard, Montreal, QC, H1G 3J5","11281 Albert Hudon Boulevard, Montreal, QC, H1G 3J5",(514) 324-1010,,http://corporate.sobeys.com/,Montreal,QC,H1G 3J5,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
"
87,Nortel,jean-francois.sauve@dempton.com,,,,,,,,,,,"Company Status: Active

Pipeline Status: 1: New Lead
"
89,Groupe Azur,lyn.dubreuil@dempton.com,"507, Place d'Armes, Montréal, QC, H2Y 2W8","507, Place d'Armes, Montréal, QC, H2Y 2W8","(514) 281-0061 ",,http://www.groupeazur.ca/Portal4/,Montréal,QC,H2Y 2W8,CA,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
"
91,Sandoz,jean-francois.sauve@dempton.com,"145, Jules-Léger, Boucherville , QC, J4B 7K8","145, Jules-Léger, Boucherville , QC, J4B 7K8",(450) 641-4903,(800) 343-8839,http://www.sandoz.ca/site/fr/index.shtml,"Boucherville ",QC,J4B 7K8,,Montreal,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: N'ont Plus WebMethods ils utilisent maintenant SAP NetWeaver est une plateforme technique SOA contenant un EAI pour "
262,Facilité Informatique,olivia.boschi@dempton.com,"1010 Sherbrooke Ouest , Montréal, Qc, H3A 2R7","1010 Sherbrooke Ouest , Montréal, Qc, H3A 2R7",(514) 284-5636,,www.facilite.com,Montréal,Qc,H3A 2R7,,,"Company Status: Active
Sic: C
Pipeline Status: 2: Visited
Description: (Olivia - 2010-06-08 3:56 PM)

Rencontre du 8/06/2010 avec Jean-François Sauvé, Luc Letendre (associé) et Marilyne Villeuneuve (Directrice services conseils).

Plus de 250 consultants répartis principalement à Montréal, Québec, et un peu Toronto, USA. Sont aussi présents en Europe (quinzaine de consultants).
Bureaux : Montréal, Québec, Paris, Boston.

Font de la consultation et de la permanence. Les postes vont du tech support aux hautes sphères (VP). 
Équipe de 10 recruteurs. 
Ils se positionnent aussi sur les solutions et le développement, proposent des projets clé en main. Distribuent la solution Open Trust et ont une filiale spécialisée dans la gouvernance, la sécurité et l'éthique (formation).
Clients = Desjardins (ils sont très présents), Hydro, BNC, HP (gros partenariat), Bombardier.

Entente pour les postes contractuels : 
- 10$ de marge sur chaque consultant dont le poste a été généré par Dempton 
- partage des commissions si le poste vient de Facilité 
Paiement 30 JOURS.

Postes permanents : 
- Facilité facture 15% du salaire annuel avec 6 mois de garantie sur la ressource. Séparation de la marge en deux si le poste est généré par Dempton."
7,Sun Media,jean-francois.sauve@dempton.com,"Montréal, QC, H2V 1A6","Montréal, QC, H2V 1A6","(514) 848-0001 ",,http://www.sunmedia.ca/,Montréal,QC,H2V 1A6,,,"Company Status: Active
Sic: B
Pipeline Status: 2: Visited
Description: Sun Media Corporation, a wholly owned subsidiary of Quebecor Media Inc., is Canada's largest newspaper publisher whose stated business purpose is to help connect and build better communities."
53,Air Canada,jean-francois.sauve@dempton.com,"Dorval, QC, ","Dorval, QC, ","(514) 422-5000 ",,,Dorval,QC,,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: 7,000 employés au Québec, 24,000 au Canada

SERVICE INFORMATIQUE :  Lise Fournel "
90,Radialpoint,lyn.dubreuil@dempton.com,"2050 Bleury, Montréal, QC, H3A 2J5","2050 Bleury, Montréal, QC, H3A 2J5",(514) 286-2636,(886) 286-2636,www.radialpoint.com,Montréal,QC,H3A 2J5,CA,*,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: (Lyn - 15/05/2008 4:19 PM)
Radialpoint est une entreprise 'moderne': heures flexibles, esprit d'équipe ouvert, code vestimentaire 'relaxe', pas de patron qui check tout, etc.

"
92,Standard Products,jean-francois.sauve@dempton.com,"5905 Chemin de la Côte-de-Liesse, Saint-Laurent , QC, H4T 1C3","5905 Chemin de la Côte-de-Liesse, Saint-Laurent , QC, H4T 1C3","(514) 342-1199 ","(800) 361-6965 ",http://www.standardpro.com/fr/default.aspx,"Saint-Laurent ",QC,H4T 1C3,CA,,"Company Status: Active
Sic: C
Pipeline Status: 3: Sendouts
Description: SAP 4.6C, modules SD, MM, WM, FI, PP et APO"
424,ASSS de la Capitale-Nationale,jennifer.doredallas@dempton.com,"555 boul. Wilfrid-Hamel, Québec, qc, G1M 3X7","555 boul. Wilfrid-Hamel, Québec, qc, G1M 3X7",(418) 525-1500,,,Québec,qc,G1M 3X7,CA,Quebec,"Company Status: Active
Sic: D
Pipeline Status: 2: Visited
Description: Essentiellement responsable de l'amélioration de la santé et du bien-être de la population de la région de la Capitale-Nationale, l'Agence a été instituée afin d'exercer les fonctions nécessaires à la coordination de la mise en place des services de santé et des services sociaux de la région et d'allouer les ressources régionales aux établissements et aux organismes communautaires. Elle doit s'assurer que les usagers reçoivent une prestation sécuritaire de services de santé et de services sociaux, faciliter le développement et la gestion des réseaux locaux de services de santé et de services sociaux, élaborer le plan stratégique pluriannuel et en assurer le suivi. L'Agence couvre un territoire d'une superficie de 18 639 kilomètres carrés, soit la grande région de la Capitale-Nationale incluant les territoires de Charlevoix et de Portneuf, qui comprend 69 municipalités et 669 316 personnes. L'Agence couvre également tout l'est de la province pour les soins et les services hospitaliers surspécialisés, ce qui a pour effet de porter son bassin de clientèle à 900 000 personnes. Elle doit donc coordonner les services de sa région avec ceux offerts dans les régions de l'Est. "
93,SAQ,jean-francois.sauve@dempton.com,"7501 Tellier, Montréal, Qc, H1N 3W2","7501 Tellier, Montréal, Qc, H1N 3W2",(514) 254-6000,,,Montréal,Qc,H1N 3W2,,,"Company Status: Active
Sic: A
Pipeline Status: 5: Client
Description: (MarieJosee - 3/1/2017 1:53 PM)
Prochaine appel d'offre autonme 2017

(MarieJosee - 2/21/2017 2:11 PM)
prolongation d'une année pour la SP-1663 Cathégorie c- Shaprepoint et D- Webmethods

(JeanFranS - 1/9/2013 4:21 PM)
Ils implantent SAP HR (Time & Labor)

(JeanFranS - 8/2/2012 2:27 PM)
Entente cadre - renouvelement en octobre ou novembre. selon Bernard Deschènes

En ce moment pour ressources webMethods : OSI, Runes, Createch et logimethods

besoin de plusieurs ressources Java, sharepoint, BI


Facturation : 
Comptabilité fournisseurs
Société des alcools du Québec
905, rue De Lorimier
Montréal (Québec)  H2K 3V9
Courriel : comptabilitefournisseurs@saq.qc.ca



"
96,CSC,jean-francois.sauve@dempton.com,"1360 blvd. René Lévesque Ouest, Montréal, QC, H3G 2W7","1360 blvd. René Lévesque Ouest, Montréal, QC, H3G 2W7",(514) 667-6300,,http://www.csc.com/,Montréal,QC,H3G 2W7,,,"Company Status: Active
Sic: D
Pipeline Status: 1: New Lead
Description: Les faits sur CSC Canada
• CSC au Canada est une filiale en propriété exclusive de CSC, constituée en 1994.
• Nous avons 1,500 employés répartis dans 17 villes. 
• Les sociétés Bombardier Transport, DuPont Canada, General Dynamics Canada, General Dynamics Land Systems, et Pratt & Whitney Canada comptent parmi les principaux clients des services d’impartition de CSC. 
• En 2000, CSC a établi un Centre d’excellence à Montréal, qui se spécialise dans le développement et le soutien d’applications de planification de ressources d’entreprise et d’applications d’affaires électroniques.
• CSC est l’un des principaux fournisseurs de services du gouvernement canadien et a été choisie comme fournisseur privilégié dans le cadre des Volets 1, 2, et 3 de l' Arrangement en Matière d'Approvisionnement en Cyberprotection (AMAC) pour fournir des services en Sécurité TI.

CSC is a global leader in providing information technology services. 

Cité du commerce electronique
1360 blvd. René Lévesque Ouest
Montreal, Québec
H3G 2W7
(514)667-6300
"
99,2-Sun Media,jean-francois.sauve@dempton.com,"800, rue du Square Victoria, Montréal, QC, H4Z 0A3","800, rue du Square Victoria, Montréal, QC, H4Z 0A3",(514) 847-9155,,,Montréal,QC,H4Z 0A3,,,"Company Status: Active
Sic: C
Pipeline Status: 1: New Lead
Description: (Lyn - 25/06/2008 9:45 AM)
Geneviève me dit qu'ils ont PHP et Perl.

Chez Canoe, ils sont 450 employées dans 5 bureaux au Canada.

Ils ont parfois des postes de conseiller mais ces gens doivent travailler du bureau et non pas de la maison (pas de télétravail chez Canoe).

"
10,CDPQ,jean-francois.sauve@dempton.com,"1000, place Jean-Paul-Riopelle, Montréal, QC, H2Z 2B3","1000, place Jean-Paul-Riopelle, Montréal, QC, H2Z 2B3",(514) 847-2000,(514) 842-3261,http://www.lacaisse.com/fr/Pages/Accueil.aspx,Montréal,QC,H2Z 2B3,,,"Company Status: Active
Sic: A
Pipeline Status: 4: Established relation
Description: (JeanFranS - 13/12/2010 11:53 AM)
Il y a un projet qui démarre. Éric Lacoursière fera l'analyse des besoins complète au niveau de VIP et des RH pour pour voir si la solution est toujours bonne et répond toujours aux besoins. Pour VIP à la CDP il y a en ce moment 2 admin syst et 2 ress. pour l'information de gestion - 35 pers. aux RH

L’environnement de la CDP est de :
- 1,200 employés
- Permanents TI environ 30
- Consultants TI environ 30 à 40 (dont environ 15 consultants pour le programme Carrefour).
CGI – Service à la Caisse : 200 à 300 ressources."
